Pelvis Tilt,Obiliquity,Rotation,Hip Flexion,Ab/Aduction,Rotation,Knee Flexion/Ex,Varus/valgus,rotation ,PlantarDorsi,foot rotation,foot progression
5.02208519,1.793411016,3.949031115,6.439470768,3.384054899,12.74022007,4.975004196,3.826778889,14.56190968,3.915066004,12.01035976,6.384091854
4.9902668,1.830811024,3.872855902,6.563697815,3.392546892,12.93747044,4.999567986,4.100457191,14.53592968,3.609740019,11.80836964,6.434998989
4.954061031,1.881749034,3.798777103,6.695325851,3.428817034,13.02530956,5.204339027,4.406209946,14.33506966,3.450325966,11.66823006,6.455064774
4.927068233,1.952643037,3.748048067,6.812335014,3.517303944,13.1091404,5.58186388,4.684466839,14.21912003,3.528955936,11.76854038,6.440195084
4.90148592,2.041002989,3.712583065,6.892405033,3.660121918,13.21481037,5.972750187,4.880494118,14.21232033,3.663868904,11.78744984,6.446249008
4.881065845,2.124536991,3.683881998,6.89808321,3.802346945,13.33141041,6.204189777,4.982444763,14.13733959,3.75928998,11.93367958,6.417134762
4.881391048,2.181638002,3.654104948,6.854306221,3.883444071,13.36256981,6.298031807,4.972112179,14.08178997,3.793468952,11.93593979,6.399507999
4.90760088,2.198843956,3.611902952,6.775877953,3.885891914,13.30270958,6.267708778,4.875809193,14.02225018,3.791162014,11.9076004,6.379232883
4.950942993,2.191934109,3.564986944,6.689466,3.839413881,13.24415016,6.167376995,4.739624023,13.90248966,3.777036905,11.91049957,6.372097969
4.99034977,2.174567938,3.50810504,6.593906879,3.789028883,13.27544022,6.019488811,4.602342129,13.85571003,3.759747982,12.04319954,6.372630119
5.013123035,2.155006886,3.448573112,6.488018036,3.750968933,13.36176014,5.83447504,4.466765881,13.89468956,3.725699902,12.21020031,6.381156921
5.019067764,2.125550985,3.39428091,6.371914864,3.722449064,13.42364025,5.631048203,4.320999146,13.87887001,3.687819004,12.3168602,6.390807152
5.023890972,2.096776009,3.351357937,6.256295204,3.703815937,13.4232502,5.420862198,4.175136089,13.78067017,3.639904976,12.3066597,6.392241001
5.021972179,2.055084944,3.307838917,6.144777775,3.689542055,13.4026804,5.23826313,4.048167229,13.67383003,3.595016003,12.23079014,6.386802197
5.0152421,2.009560108,3.277584076,6.040571213,3.676021099,13.37137985,5.085618019,3.941104889,13.58364964,3.566073895,12.1529398,6.383304119
5.010564804,1.963304996,3.266539097,5.945383072,3.661379099,13.34842968,4.954734802,3.854965925,13.52019978,3.557149887,12.13177013,6.378850937
5.009923935,1.933997035,3.282179117,5.861658096,3.652894974,13.32654953,4.851748943,3.795953035,13.46597004,3.571377039,12.12763977,6.371222973
5.014214993,1.916614056,3.324816942,5.784283161,3.640911102,13.32721996,4.768905163,3.756781101,13.44773006,3.641098022,12.18029022,6.385009766
5.022749901,1.914173961,3.401388884,5.711043835,3.627136946,13.37069035,4.706602097,3.732964039,13.42844963,3.743202925,12.21420956,6.407539845
5.038274765,1.927060962,3.492603064,5.641806126,3.612308979,13.42383003,4.646318913,3.730632067,13.3905201,3.863791943,12.18984985,6.440090179
5.062488079,1.944206953,3.588120937,5.586524963,3.591119051,13.45470047,4.578847885,3.751266003,13.35319996,3.997292995,12.14552021,6.481577873
5.087831974,1.967360973,3.669627905,5.546341896,3.569274902,13.45116997,4.538672924,3.799248934,13.28911018,4.133707047,12.0931797,6.523951054
5.105917931,2.003384113,3.75188899,5.521450043,3.564378023,13.39245033,4.558345795,3.884789944,13.24569988,4.271811008,12.08253956,6.567717075
5.111575127,2.049962997,3.80478406,5.528307915,3.569617987,13.29069996,4.663621902,4.027628899,13.22869015,4.46249485,12.11775017,6.616120815
5.096210957,2.096776962,3.838666916,5.553267002,3.575092077,13.17646027,4.889352798,4.250007153,13.29073048,4.786287785,12.20491028,6.658950806
5.051202774,2.148879051,3.845892906,5.591341972,3.579313993,13.05179977,5.259243965,4.584678173,13.44355011,5.409945011,12.33368015,6.697564125
4.982435226,2.200944901,3.825246096,5.659526825,3.583286047,12.96949005,5.765472889,5.055733204,13.67862988,6.449091911,12.44355011,6.730418205
4.910023212,2.252742052,3.774461985,5.790452003,3.583178997,13.02935982,6.382454872,5.67609787,13.94470024,7.667675972,12.43270016,6.782635212
4.851047993,2.30591011,3.696835995,5.985300064,3.580041885,13.23618984,6.996760845,6.453520775,14.1293602,8.507557869,12.29399014,6.874668121
4.807610989,2.358016968,3.608850956,6.22288084,3.57742691,13.56919956,7.51331377,7.36935091,14.17313004,8.624759674,12.07670975,7.027132988
4.783957005,2.393223047,3.529442072,6.452185154,3.564991951,13.89925957,7.781370163,8.364050865,13.87660027,8.184354782,11.82987022,7.241102219
4.780088902,2.406611919,3.459372044,6.624707222,3.544962883,14.01570988,7.705573082,9.195006371,13.35739994,7.760324955,11.70563984,7.529531002
4.793158054,2.400721073,3.413223982,6.721526146,3.534473896,14.02013969,7.320991993,9.842898369,12.84265041,7.649058819,11.8159399,7.883767128
4.817735195,2.382903099,3.379339933,6.72055006,3.543066025,13.99100971,6.717079163,10.30875969,12.63405991,7.529096127,12.09451962,8.143033028
4.842151165,2.35097003,3.350491047,6.638738155,3.548100948,13.99174976,6.195353031,10.6537199,12.64958954,6.988770008,12.40340042,8.343439102
4.857203007,2.305696011,3.328892946,6.492434025,3.559202909,14.06776047,5.958971977,10.92796993,12.81285954,6.122097969,12.58193016,8.479366302
4.863628864,2.253479958,3.305532932,6.308794022,3.578341007,14.28009987,6.100035191,11.18132019,13.16810989,5.24135685,12.68700027,8.500968933
4.868844032,2.19738102,3.284881115,6.112668991,3.595984936,14.60212994,6.590569019,11.35925961,13.73132038,4.585522175,12.71022987,8.427211761
4.874268055,2.138849974,3.282015085,5.934689999,3.609949112,14.95355034,7.327319145,11.3129797,14.49849033,4.119863987,12.67129993,8.367527008
4.881326199,2.080985069,3.293762922,5.772065163,3.61878705,15.24514961,8.132222176,10.91405964,15.40431023,3.80746603,12.62784004,8.39415741
4.893045902,2.024751902,3.325205088,5.646521091,3.614649057,15.37378979,8.833650589,10.08102989,16.23490906,3.623219013,12.61839962,8.572582245
4.912565231,1.971035957,3.383635044,5.568120003,3.594984055,15.28594017,9.291003227,8.86119175,16.74551964,3.562589884,12.65861034,8.816437721
4.940851212,1.921964049,3.453248024,5.530099869,3.565876007,14.94602966,9.436908722,7.357488155,16.74798965,3.571283102,12.72126961,9.001173973
4.978205204,1.885177016,3.533166885,5.535232067,3.531673908,14.44130039,9.263929367,5.804151058,16.20735931,3.611778975,12.73281956,9.001655579
5.023403168,1.861642003,3.614672899,5.57298708,3.488492012,13.84761047,8.738370895,4.451927185,15.32233047,3.616655111,12.66574955,8.792959213
5.069387913,1.855180979,3.688452005,5.662302971,3.442548037,13.25251961,7.910851002,3.611329079,14.38354015,3.602170944,12.58265018,8.397854805
5.109556198,1.862305999,3.750524998,5.765073776,3.393153906,12.79154968,6.810410023,3.326374054,13.56046963,3.541659117,12.46395016,7.871016979
5.136717796,1.876245022,3.795836926,5.864591122,3.349436045,12.59181023,5.690281868,3.352248907,13.16187,3.446660995,12.41242981,7.336338997
5.146062851,1.893622041,3.814486027,5.933609009,3.329333067,12.63416958,5.011231899,3.452816963,13.10542965,3.401122093,12.31906986,6.904644966
5.137062073,1.926018953,3.818273067,5.954075813,3.344088078,12.75755978,4.918011189,3.547586918,13.32116985,3.463772058,12.11240959,6.723948956
5.104591846,1.969498992,3.803177118,5.974273205,3.390486956,12.87998009,5.191389084,3.682246923,13.56521988,3.620629072,11.97721958,6.779541969
